Matvare,Kilokalorier,Fett,Karbohydrat,Protein,% Spiselig,Kategori,underkategori
"Pasta, grønn, fersk, rå",229,"3,9","38,3","9,1",100,Ris/pasta,
"Pasta, naturell, fersk, rå",244,4,"41,5","9,5",100,Ris/pasta,
"Pasta, naturell, tørr",347,"1,3","69,8","11,9",100,Ris/pasta,
"Pastinakk, rå",65,"0,6","11,2","1,7",80,Grønnsaker,Krydder/urter
Peanøttsmør,620,"51,8","13,1","22,8",100,Pålegg,Søt
"Pepper, cayenne, rød",375,"17,3","29,4",12,100,Grønnsaker,Krydder/urter
"Pepper, hvit",283,"2,1","42,4","10,4",100,Grønnsaker,Krydder/urter
Pepperkaker,459,"15,9","72,9","5,3",100,Brødmat,Kake
"Pepperrot, rå",96,"0,7",11,"7,7",27,Grønnsaker,Rotgrønnsak
"Persille, norsk, rå",32,"0,4","1,6","3,1",66,Grønnsaker,Krydder/urter
"Persillerot, norsk, rå",46,"0,3","7,3","1,7",91,Grønnsaker,Rotgrønnsak
"Pesto, grønn, kjøpt",520,"52,9","4,9","5,2",100,Saus/olje,saus
"Physalis, rå",64,"0,6","10,7","1,8",94,Frukt/Bær,Frukt
"Pigghå, håbrann, rå",129,"6,4",0,"17,9",100,Sjømat,Fisk
"Piggvar, rå",85,"2,4",0,"15,9",100,Sjømat,Fisk
"Pils, 4,7 vol-% alkohol",41,0,"3,2","0,4",100,Drikke,Alkohol
Pinjekjerner,697,"68,4",5,"13,7",100,Korn/nøtter,Nøtter
"Pinnekjøtt, råvare",452,37,0,"29,8",77,Kjøtt,bearbeidet/div
"Pitabrød, fint, kjøpt",235,"1,1","47,3","7,4",100,Brødmat,Brød
"Pizzabunn, uten fyll",244,"3,3","44,8","7,5",100,Diverse,Middag
"Plomme, rå",44,"0,1","9,3","0,5",94,Frukt/Bær,Frukt
"Polarbrød, hvete",321,"5,1","58,4","9,1",100,Brødmat,Brød
"Pomelo, rå",33,"0,2","6,8","0,6",61,Grønnsaker,diverse
"Pommes frites, fryst",153,"5,2",22,"2,2",100,Grønnsaker,Rotgrønnsak
"Popcorn, kjøpt",398,"14,5","51,4","10,1",100,Snacks,Salt
"Port Salut, kittmodnet ost",321,25,0,24,100,Pålegg,Ost-gul
"Potet, lagringspotet, rå",80,"0,1","17,1","1,9",82,Grønnsaker,Rotgrønnsak
Potetchips,517,"31,5","50,5","5,2",100,Snacks,Salt
"Potetsalat, med ekte majones",325,"29,7","12,3","1,6",100,Diverse,Middag
"Potetsalat, med lettmajones (40 % fett)",195,"14,5","14,1","1,4",100,Diverse,Middag
"Potetsalat, med lettrømme",107,"5,3","12,2","1,9",100,Diverse,Middag
Prim,283,8,46,"6,7",100,Pålegg,Søt
"Prim, mager",256,4,48,7,100,Pålegg,Søt
"Purreløk, norsk, rå",28,"0,2","3,6","1,6",83,Grønnsaker,Løk
"Pære, uspesifisert, rå",44,"0,1","8,8","0,4",90,Frukt/Bær,Frukt
"Pølsebrød, fint, kjøpt",304,"8,2","50,1","6,5",100,Brødmat,Brød
"Quinoa, tørr",358,"6,1","58,3","14,1",100,Ris/pasta,
"Rabarbra, rå",20,"0,2","1,9","0,9",75,Frukt/Bær,Frukt
"Raclette, ost",357,"27,9",0,"26,4",100,Pålegg,Ost-gul
"Rapidsalat, norsk, rå",11,"0,2","0,3","1,4",94,Grønnsaker,Salat
"Reddik, norsk, rå",16,"0,1","2,5","0,7",94,Grønnsaker,Rotgrønnsak
"Reinsdyr, bog, stek, rå",118,"3,6",0,"21,3",100,Kjøtt,Vilt
"Reinsdyr, kjøtt, tørket, rå",318,"17,6",0,40,100,Kjøtt,Vilt
Reinsdyrpølse,426,"38,5",0,20,100,Pålegg,Kjøtt
"Reinsdyrskav, fryst, rå",145,"7,5",0,"19,3",100,Kjøtt,Vilt
"Reker, i lake, avrent",58,"0,6",0,"13,2",100,Sjømat,Skjell/bløtdyr
"Rekesalat, majonessalat, 35 % fett",359,36,"5,2","3,2",100,Pålegg,Salat
Remulade,617,"65,6","5,6","0,9",100,Saus/olje,Fet
"Ribberull, skiver",193,"13,5",0,18,100,Pålegg,Kjøtt
"Ricotta, ferskost",163,13,"0,3","11,3",100,Pålegg,Ost-smørbar
Ridderost,422,38,0,20,100,Pålegg,Ost-gul
"Rips, rå",53,"1,2","6,9","1,2",100,Frukt/Bær,Bær
"Ris, polert, Jasminris, tørr",354,"0,7","79,5","7,5",100,Ris/pasta,
Risdrikke,36,"0,9","6,9","0,1",100,Drikke,Diverse
"Riskaker, lettsaltet",380,3,78,8,100,Brødmat,diverse
"Roastbiff, skiver",129,"2,7",0,"26,1",100,Pålegg,Kjøtt
"Rogn, torsk, presset, hermetisk",125,"1,9",0,"27,1",100,Sjømat,Fisk-diverse
"Romanosalat, rå",16,"0,2","1,3","1,4",94,Grønnsaker,Salat
"Roquefort, blåmuggost",355,31,0,19,100,Pålegg,Ost – blåmugg
"Rosenkål, norsk, rå",52,"0,6","4,4","5,1",80,Grønnsaker,Kål
"Rosinbolle, kjøpt",357,"10,4","56,9","7,3",100,Brødmat,Bolle/lefse
Rosiner,277,1,"62,6",3,100,Frukt/Bær,Frukt
"Rosmarin, rå",120,"5,9","6,6","3,3",65,Grønnsaker,Krydder/urter
"Royal Blue, blåmuggost",452,44,0,14,100,Pålegg,Ost – blåmugg
"Ruccolasalat, rå",28,"0,7",2,"2,6",100,Grønnsaker,Salat
"Rugbrød, fint (0-25 %), kjøpt",248,"2,6","45,7","7,9",100,Brødmat,Brød
"Rugbrød, grovt (50-75 %), kjøpt",259,"2,4","48,4","6,9",100,Brødmat,Brød
"Rullekake, med smørkrem av margarin",398,"19,8","48,3","6,3",100,Brødmat,Kake
"Rundstykke, fint, kjøpt",284,"3,3","53,4","8,7",100,Brødmat,Brød
"Rundstykke, grovt, kjøpt",256,"5,2",43,"7,6",100,Brødmat,Brød
"Rype, bryst, uten skinn, rå",122,"4,5",0,"20,3",100,Kjøtt,Fugl
"Rødbete, norsk, rå",49,"0,2","8,9","1,6",86,Grønnsaker,Rotgrønnsak
"Rødbeter, syltede",59,"0,1","12,5","1,3",100,Grønnsaker,Rotgrønnsak
"Rødbetsalat, majonessalat, 30 % fett",317,"31,6","6,2","1,2",100,Pålegg,Salat
"Røde bønner, tørre",294,"1,4","40,5","22,1",100,Grønnsaker,Bønner/erter
"Rødkål, rå",32,"0,3",5,"1,1",80,Grønnsaker,Kål
"Rødspette, filet, rå",91,"2,6",0,"16,8",100,Sjømat,Fisk
"Rødvin, 12 vol-% alkohol",74,0,"0,7","0,1",100,Drikke,Alkohol
"Rømmedressing, med urter",136,"11,8","4,7","2,8",100,Saus/olje,Fet
"Røye, filet, rå",128,"7,1",0,"16,1",100,Sjømat,Fisk-rød
"Rådyr, kjøtt, rå",95,"1,2",0,21,100,Kjøtt,Vilt
"Safran, tørket",352,"5,8","61,5","11,4",100,Grønnsaker,Krydder/urter
"Saftis, Lollipop",120,"3,5",22,"0,1",100,Snacks,Søt
Salami,429,"39,5","0,9","17,6",100,Pålegg,Kjøtt
"Salsiccia, italiensk pølse",271,"18,3","4,7","21,8",100,Kjøtt,Pølse
Saltstenger,380,"6,3","68,1","10,5",100,Snacks,Salt
Sarah Bernhard-kake,467,"29,6","40,5",8,100,Brødmat,Kake
"Sashimi, kveite",113,"4,3",0,"18,5",100,Sjømat,Sushi
"Sashimi, laks",224,16,0,20,100,Sjømat,Sushi
"Sashimi, tunfisk",105,1,0,24,100,Sjømat,Sushi
"Sau, fårekjøtt, lettsaltet, rå",371,35,0,14,100,Kjøtt,Lam/sau
"Scones, grove, med melk",301,"8,3","45,6","8,8",100,Brødmat,Kake
"Sei, filet, rå",69,"0,3",0,"16,5",100,Sjømat,Fisk
"Selbu blå, blåmuggost",420,40,0,15,100,Pålegg,Ost – blåmugg
"Sellerirot, norsk, rå",27,"0,3","2,8","1,6",70,Grønnsaker,Rotgrønnsak
"Semulegryn, hvetegryn",339,2,69,10,100,Korn/nøtter,Korn
Sennep,158,"6,4","18,5","5,7",100,Saus/olje,saus
Sennepssaus,441,"39,8","17,8","2,6",100,Saus/olje,saus
Servelat,198,"14,5","7,1","9,9",100,Pålegg,Kjøtt
"Servelat, mager, Gilde",145,9,"4,5","11,4",100,Pålegg,Kjøtt
"Seterrømme, 35 % fett",335,35,"2,9","2,2",100,Meieriprodukt,Rømme o.l.
"Sharon, kakifrukt, rå",65,"0,3",12,"0,7",84,Frukt/Bær,Frukt
"Sik, filet, rå",89,"0,6",0,"20,9",100,Sjømat,Fisk
"Sikorisalat, rå",15,"0,6","0,9","0,5",80,Grønnsaker,Salat
"Sild, fetsild, sommersild, filet, rå",293,25,0,17,100,Sjømat,Fisk-fet
"Sild, fetsild/sommersild, kokt",349,"29,8",0,"20,2",65,Sjømat,Fisk-fet
"Sild, kryddersild",154,12,0,"11,5",100,Sjømat,Fisk-fet
"Sild, marinert, sennepssild",250,"13,6","25,5","6,1",100,Sjømat,Fisk-fet
"Sild, storsild, vintersild, rå",187,14,0,"15,2",100,Sjømat,Fisk-fet
"Sild, sursild, innlagt, avrent",190,"11,7","11,1","9,9",100,Sjømat,Fisk-fet
Sirup,297,0,"74,1","0,1",100,Diverse,Søtt
"Sitron, rå",23,"0,3","2,5","1,1",53,Frukt/Bær,Frukt
"Sjalottløk, rå",24,"0,2","3,3","1,5",72,Grønnsaker,Løk
"Sjampinjong, norsk,  rå",22,"0,3","0,3","3,6",89,Grønnsaker,Sopp
"Sjokolade, hvit",544,"30,9","58,3",8,100,Snacks,Sjokolade
"Sjokolade, kokesjokolade, lys",527,"29,5","56,7",7,100,Snacks,Sjokolade
"Sjokolade, mørk, 70 % kakao",584,"46,5","33,2",7,100,Snacks,Sjokolade
"Sjokolade, Snickers",498,"28,2","52,2","7,5",100,Snacks,Sjokolade
"Sjokoladepudding, Piano",123,"3,9",18,"3,3",100,Snacks,Sjokolade
"Sjokoladepålegg, Sjokade",414,19,59,"1,1",100,Pålegg,Søt
"Sjøtunge, rå",64,"0,5",0,"14,8",33,Sjømat,Fisk-diverse
"Skate, filet, rå",58,"0,2",0,14,100,Sjømat,Fisk
"Skinkerull, Westfalerskinke",286,20,0,"26,6",100,Pålegg,Kjøtt
Skummet melk,33,"0,1","4,5","3,5",100,Meieriprodukt,Melk
"Skyr, naturell",74,1,"4,3",12,100,Meieriprodukt,Rømme o.l.
"Smoothie, med yoghurt, juice, banan og bær",60,"1,2","9,9","1,7",100,Drikke,Søt
Smør,742,82,"0,5","0,5",100,Saus/olje,Fet
"Snegler, hermetisk",77,"1,4",0,"16,1",100,Sjømat,Skjell/bløtdyr
"Solbær, rå",55,1,"7,6","1,3",100,Frukt/Bær,Bær
"Solbærsirup, drikkeklar",32,0,"7,9","0,1",100,Drikke,Søt
"Soyaburger, stekt i vegetabilsk olje",195,11,"11,7","10,6",100,Diverse,Middag
"Soyadrikke, tilsatt kalsium, søtet",44,"2,4","2,2","3,1",100,Drikke,Diverse
"Soyapølse, hermetisk",201,15,"3,5",12,100,Diverse,Middag
Soyasaus,84,0,"17,9",3,100,Diverse,Middag
Spekeskinke,203,"9,2",0,30,100,Pålegg,Kjøtt
"Spinat, rå",22,"0,4","0,3","3,3",70,Grønnsaker,Salat
"Spisskål, rå",18,"0,3","0,9","2,1",80,Grønnsaker,Kål
"Squash, zucchini, rå",17,"0,2","2,2","1,3",88,Grønnsaker,diverse
"Stangselleri, norsk, rå",15,"0,1","1,3","1,1",76,Grønnsaker,diverse
"Steinbit, filet, rå",97,"2,5",0,"18,6",100,Sjømat,Fisk
"Steinsopp, rå",30,"0,2","2,4","3,1",100,Grønnsaker,Sopp
"Sterkvin, søt, portvin, 20 vol-% alkohol",151,0,"9,6","0,1",100,Drikke,Alkohol
"Sterkøl, bokkøl, 6,5 vol-% alkohol",63,0,6,"0,7",100,Drikke,Alkohol
"Stikkelsbær, rå",37,"0,6","5,4","0,8",98,Frukt/Bær,Bær
"Stilton, blåmuggost",410,35,"0,1","23,7",100,Pålegg,Ost – blåmugg
"Storfe, bankekjøtt, rå",124,"4,1",0,"21,9",100,Kjøtt,Storfe
"Storfe, bibringe, rå",209,"14,8",0,"18,9",79,Kjøtt,Storfe
"Storfe, bog, uten knoke, rå",160,"8,8",0,"20,2",83,Kjøtt,Storfe
"Storfe, bogstek, rå",120,"3,7",0,"21,8",100,Kjøtt,Storfe
"Storfe, entrecôte, synlig fett skåret vekk, rå",141,"5,7",0,"22,4",84,Kjøtt,Storfe
"Storfe, entrecôtekam, rå",200,"13,1",0,"20,5",78,Kjøtt,Storfe
"Storfe, fett fra storfekjøtt, rå",732,80,0,3,100,Kjøtt,Storfe
"Storfe, filetkam, rå",165,9,0,"21,1",79,Kjøtt,Storfe
"Storfe, flatbiff, rå",105,"1,7",0,"22,5",100,Kjøtt,Storfe
"Storfe, høyrygg, rå",162,"9,2",0,"19,9",80,Kjøtt,Storfe
"Storfe, indrefilet, rå",118,"3,7",0,"21,2",100,Kjøtt,Storfe
"Storfe, kam, rå",162,"8,6",0,"21,1",100,Kjøtt,Storfe
"Storfe, kotelettkam, rå",170,"9,9",0,"20,2",75,Kjøtt,Storfe
"Storfe, mørbrad, rå",109,"2,3",0,"22,2",100,Kjøtt,Storfe
"Storfe, rundstek, rå",107,2,0,"22,2",100,Kjøtt,Storfe
"Storfe, ytrefilet, rå",109,"2,3",0,"22,2",100,Kjøtt,Storfe
"Strandsnegle, norsk",87,"1,4","3,3","15,2",16,Sjømat,Skjell/bløtdyr
"Sukker, brunt",376,0,94,0,100,Diverse,Søtt
"Sukker, hvitt",400,0,100,0,100,Diverse,Søtt
"Sukkererter, norsk, rå",42,"0,1","5,3","3,5",94,Grønnsaker,Bønner/erter
"Surkål, kjøpt",29,0,"5,1","1,4",100,Grønnsaker,Kål
"Sushi, maki, kveite",116,"2,4","18,1","5,1",100,Sjømat,Sushi
"Sushi, maki, laks",134,"4,3","18,1","5,3",100,Sjømat,Sushi
"Sushi, maki, tunfisk",115,"1,9","18,1","5,9",100,Sjømat,Sushi
"Sushi, nigiri, kveite",114,"1,4","17,8","7,3",100,Sjømat,Sushi
"Sushi, nigiri, laks",147,5,"17,8","7,8",100,Sjømat,Sushi
"Sushi, nigiri, tunfisk",112,"0,5","17,8",9,100,Sjømat,Sushi
"Svarte bønner, hermetiske",106,1,"12,8","8,1",100,Grønnsaker,Bønner/erter
"Svartøyebønner, tørr",324,"1,3","49,4","23,5",100,Grønnsaker,Bønner/erter
"Sveitserost, gulost",364,28,0,28,100,Pålegg,Ost-gul
"Svin, bacon med svor, rå",339,"31,5",0,"13,9",100,Kjøtt,Svin
"Svin, bogstek, kjøtt uten fettrand, rå",144,"6,7",0,21,86,Kjøtt,Svin
"Svin, bogstek, med fettrand, rå",220,"16,1",0,"18,7",100,Kjøtt,Svin
"Svin, familieribbe, rå",328,"29,5",0,"15,6",86,Kjøtt,Svin
"Svin, flatbiff, rå",103,"1,7",0,22,100,Kjøtt,Svin
"Svin, grillben, rå",247,"19,9",0,17,51,Kjøtt,Svin
"Svin, indrefilet, rå",116,"3,1",0,22,100,Kjøtt,Svin
"Svin, kjøtt fra knoke, rå",151,"8,1",0,"19,5",51,Kjøtt,Svin
"Svin, kotelett, kam, svinekoteletter, inntil 5 mm fettrand, rå",243,"18,3",0,"19,8",77,Kjøtt,Svin
"Svin, midtribbe, med kam og svor, rå",328,"29,5",0,"15,6",86,Kjøtt,Svin
"Svin, mørbrad, rå",215,"15,7",0,"18,5",79,Kjøtt,Svin
"Svin, nakkekoteletter, rå",225,17,0,18,83,Kjøtt,Svin
"Svin, sideflesk, lettsaltet, rå",301,"27,4",0,"13,6",100,Kjøtt,Svin
"Svin, sideflesk, uten ben, rå",384,"36,6",0,"13,6",93,Kjøtt,Svin
"Svin, skinke, med knoke, rå",219,"16,4",0,"17,9",86,Kjøtt,Svin
"Svin, skinkestek med fettrand, uten svor, rå",221,16,0,"19,2",100,Kjøtt,Svin
"Svin, skinkestek, rå",130,"4,7",0,22,85,Kjøtt,Svin
"Svin, tynnribbe, med svor, rå",371,"35,1",0,"13,8",87,Kjøtt,Svin
"Svin, ytrefilet, rå",110,"1,6",0,24,100,Kjøtt,Svin
"Svinekam, røkt",209,"17,6","0,3","12,3",83,Kjøtt,Svin
Svisker,168,"0,3","36,5","2,3",87,Frukt/Bær,Frukt
Sylte,304,"23,2","0,3","23,6",100,Pålegg,Kjøtt
"Syltetøy, 40 % bær, 40 % sukker",174,"0,1","42,4","0,3",100,Pålegg,Søt
"Syltetøy, 45 % bær, 25 % sukker",130,"0,1","31,4","0,3",100,Pålegg,Søt
"Syrnet melk, jordbær, Biola",52,"0,1","9,7","3,1",100,Meieriprodukt,Melk
"Syrnet melk, Kulturmjølk",61,"3,5",4,"3,3",100,Meieriprodukt,Melk
"Syrnet melk, Skumma Kulturmjølk",33,"0,4","4,1","3,2",100,Meieriprodukt,Melk
"Søtpotet, rå",80,0,"16,8","1,6",72,Grønnsaker,Rotgrønnsak
Taco kryddermix,226,"3,5","36,6","5,9",100,Diverse,Salt
Tacosaus,27,"0,1",4,"1,9",100,Diverse,Middag
Tacoskjell,462,"23,4","55,3","5,7",100,Diverse,Middag
"Taffelost, tomat",313,24,"0,3",24,100,Pålegg,Ost-gul
"Terte, uten fyll",527,"29,8","56,4","7,5",100,Brødmat,Brød
"Timian, rå",107,"1,7","10,4","5,6",68,Grønnsaker,Krydder/urter
"Tofu, soyabønneost",77,"4,2","0,6","8,1",100,Diverse,Middag
"Tomat, hermetisk",20,"0,2","3,3","0,8",100,Grønnsaker,Tomat/agurk/paprika
"Tomat, norsk, rå",18,"0,2","2,5","0,7",100,Grønnsaker,Tomat/agurk/paprika
"Tomater, soltørkede, tørr",280,3,43,"14,1",100,Grønnsaker,Tomat/agurk/paprika
"Tomatpuré, hermetisk",84,"0,2","14,5","4,8",100,Saus/olje,saus
"Torsk, filet, rå",81,1,0,"18,1",100,Sjømat,Fisk
"Tortilla, maislefse",258,"2,8","50,1","6,2",100,Diverse,Middag
"Tortillachips, nachochips",475,"22,4","57,4","7,4",100,Snacks,Salt
"Tranebær, rå",28,"0,1",4,"0,4",100,Frukt/Bær,Bær
"Tunfisk, i gele, hermetisk",70,"0,4",0,"16,5",100,Sjømat,Fisk-rød
"Tunfisk, i olje, avrent, hermetisk",259,"18,9",0,"22,3",100,Sjømat,Fisk-rød
"Tunfisk, i vann, avrent, hermetisk",105,1,0,"24,1",100,Sjømat,Fisk-rød
"Tunfisk, makrellstørje, rå",105,1,0,24,100,Sjømat,Fisk-rød
"Tyttebær, rå",44,"0,6",7,"0,7",100,Frukt/Bær,Bær
Tørrfisk,327,"1,4",0,"78,5",90,Sjømat,Fisk-diverse
"Uer, filet, rå",94,"2,8",0,"17,1",100,Sjømat,Fisk
Urtesalt,47,"1,7","0,3","7,6",100,Diverse,Salt
"Vafler, grove",226,"8,9","27,1","8,5",100,Brødmat,Kake
"Vafler, med egg, lettmelk",218,"8,8","27,2",7,100,Brødmat,Kake
Valnøtter,672,"65,2","2,7","15,2",45,Korn/nøtter,Nøtter
"Vaniljesaus, Piano",147,"8,4",15,"2,7",100,Snacks,Søt
Vaniljesukker,364,0,"91,1",0,100,Diverse,Søtt
"Vannkastanje, rå",52,"0,2","10,4","1,4",73,Grønnsaker,Rotgrønnsak
"Vannmelon, rå",35,"0,1","7,6","0,8",46,Frukt/Bær,Frukt
"Villsvin, kjøtt, rå",105,"1,5",0,23,100,Kjøtt,Vilt
"Vin, alkoholfri",17,0,4,"0,2",100,Drikke,Alkohol
"Vin, alkoholsvak",36,0,"6,1",0,100,Drikke,Alkohol
"Vårløk, rå",23,"0,2","2,3","1,8",96,Grønnsaker,Løk
"Wienerbrød, med eggekrem",401,"24,4",38,"6,5",100,Brødmat,Kake
"Wienerkringle, med mandelfyll",496,"35,8","36,4","6,2",100,Brødmat,Kake
Wienerpølse,256,"21,2","5,4","10,9",100,Kjøtt,Pølse
"Wienerpølse, med mindre fett",160,"10,7","5,8","10,1",100,Kjøtt,Pølse
"Wienersnitzel, rå",244,"15,8","5,8","19,7",100,Kjøtt,bearbeidet/div
"Wokblanding, klassisk",34,"0,3","4,8","1,9",100,Diverse,middag
"Yoghurt, frukt, 0,1 % fett, lett, Yoplait",52,"0,1","8,9","3,9",100,Meieriprodukt,Rømme o.l.
"Yoghurt, jordbær",88,3,"11,5","3,7",100,Meieriprodukt,Rømme o.l.
"Øl, alkoholfritt",24,0,5,"0,4",100,Drikke,Alkohol
"Øl, redusert energiinnhold, lavkarbo",32,0,1,"0,4",100,Drikke,Alkohol
"Ørret, oppdrett, filet, rå",166,10,0,19,100,Sjømat,Fisk-rød
"Ørret, sjøørret, hel, rå",110,"3,3",0,20,70,Sjømat,Fisk-rød
"Østers, rå",59,"2,4",0,"9,3",10,Sjømat,Skjell/bløtdyr
"Østerssopp, rå",26,"0,3","2,6",2,89,Grønnsaker,Sopp
"Åbor, abbor, filet, rå",85,"0,6",0,"19,8",100,Sjømat,Fisk
"Ål, filet, rå",362,"32,5",0,"17,3",100,Sjømat,Fisk-fet
