Navn,Kcal,Kategori
"Erter, tørre",334,Bønner/belgfrukt
"Hvite bønner, store, hermetiske",98,Bønner/belgfrukt
"Hvite bønner, tørre",312,Bønner/belgfrukt
"Kidneybønner, røde, hermetiske",106,Bønner/belgfrukt
"Kikerter, hermetiske",124,Bønner/belgfrukt
"Kikerter, tørre",341,Bønner/belgfrukt
"Limabønner, smørbønner, tørr",307,Bønner/belgfrukt
"Linser, grønne og brune, kokte med salt",120,Bønner/belgfrukt
"Linser, grønne og brune, tørre",307,Bønner/belgfrukt
"Linser, grønne, hermetiske",92,Bønner/belgfrukt
"Linser, røde, hermetiske",90,Bønner/belgfrukt
"Linser, røde/rosa, tørr",346,Bønner/belgfrukt
"Meterbønner, rå",45,Bønner/belgfrukt
"Mungbønner, tørre",295,Bønner/belgfrukt
"Røde bønner, tørre",294,Bønner/belgfrukt
"Soyabønner, tørre",383,Bønner/belgfrukt
"Sukkererter, norsk, rå",42,Bønner/belgfrukt
"Svarte bønner, hermetiske",106,Bønner/belgfrukt
"Svartøyebønner, tørr",324,Bønner/belgfrukt
"Tomatbønner, hvite bønner, i tomatsaus, hermetisk",93,Bønner/belgfrukt
"Ananas, rå",51,Frukt
"Appelsin, rå",37,Frukt
"Aprikos, rå",52,Frukt
"Aronia, svartsurbær, rå",50,Frukt
"Avocado, rå",191,Frukt
"Banan, rå",83,Frukt
"Bjørnebær, rå",40,Frukt
"Blokkebær, mikkelsbær, rå",63,Frukt
"Blåbær, rå",51,Frukt
"Bringebær, rå",29,Frukt
"Carambola, stjernefrukt, rå",36,Frukt
"Cherimoya, rå",70,Frukt
"Drue, blå, rå",53,Frukt
"Drue, grønn, rå",70,Frukt
"Drue, uspesifisert, rå",62,Frukt
"Eple, Granny Smith, Golden Delicious, rå",43,Frukt
"Eple, importert, rå",49,Frukt
"Eple, Ingrid Marie, rå",49,Frukt
"Eple, norsk, uspesifisert, rå",47,Frukt
"Eple, Rød aroma, rå",50,Frukt
"Eple, uspesifisert, rå",49,Frukt
"Fersken, rå",42,Frukt
"Galiamelon, rå",26,Frukt
"Granateple, rå",80,Frukt
"Grapefrukt, rå",34,Frukt
"Guava, rå",39,Frukt
"Honningmelon, rå",37,Frukt
"Hyllebær, rå",47,Frukt
"Jackfrukt, rå",97,Frukt
"Jordbær, rå",34,Frukt
"Kaktusfiken, rå",49,Frukt
"Kantaloupemelon, rå",38,Frukt
"Kirsebær, rå",41,Frukt
"Kiwi, rå",50,Frukt
"Klementin, rå",45,Frukt
"Kokebanan, melbanan, plantain, rå",131,Frukt
"Kokosnøtt, rå",358,Frukt
"Krekling, krøkebær, rå",38,Frukt
"Kumquat, rå",66,Frukt
"Lime, rå",17,Frukt
"Litchi, rå",71,Frukt
"Mango, rå",49,Frukt
"Molter, rå",46,Frukt
"Moreller, rå",52,Frukt
"Nashi, asiatisk pære, rå",39,Frukt
"Nektarin, rå",48,Frukt
"Nype, rå",53,Frukt
"Papaya, rå",47,Frukt
"Paradisepler, rå",31,Frukt
"Pasjonsfrukt, rå",44,Frukt
"Physalis, rå",64,Frukt
"Plomme, rå",44,Frukt
"Pomelo, rå",33,Frukt
"Pære, importert, rå",44,Frukt
"Pære, norsk, rå",43,Frukt
"Pære, uspesifisert, rå",44,Frukt
"Rambutan, rå",75,Frukt
"Rips, rå",53,Frukt
"Rognebær, rå",40,Frukt
"Sharon, kakifrukt, rå",65,Frukt
"Sitron, rå",23,Frukt
"Solbær, rå",55,Frukt
"Stikkelsbær, rå",37,Frukt
"Tamarind, rå",256,Frukt
"Tindved, havtorn, rå",85,Frukt
"Tranebær, rå",28,Frukt
"Tyttebær, rå",44,Frukt
"Vannmelon, rå",35,Frukt
Anisfrø,384,Krydder/urter
"Basilikum, rå",21,Krydder/urter
"Basilikum, tørket",244,Krydder/urter
Chilipulver,311,Krydder/urter
"Dill, rå",48,Krydder/urter
"Estragon, tørket",342,Krydder/urter
"Gurkemeie, malt",291,Krydder/urter
Hvitløkspulver,346,Krydder/urter
"Ingefær, malt",342,Krydder/urter
"Kanel, malt",246,Krydder/urter
"Kardemomme, malt",321,Krydder/urter
"Karri, malt",301,Krydder/urter
"Karve, kummin, hel",334,Krydder/urter
"Koriander, rå",24,Krydder/urter
"Koriander, tørket",317,Krydder/urter
Korianderfrø,345,Krydder/urter
"Laurbærblad, tørket",353,Krydder/urter
"Merian, tørket",276,Krydder/urter
"Muskat, malt",506,Krydder/urter
"Nellik, malt",335,Krydder/urter
"Oregano, tørket",246,Krydder/urter
Paprikapulver,315,Krydder/urter
"Pepper, cayenne, rød",375,Krydder/urter
"Pepper, hvit",283,Krydder/urter
"Pepper, sort",277,Krydder/urter
"Persille, norsk, rå",32,Krydder/urter
"Persille, tørket",305,Krydder/urter
"Rosmarin, rå",120,Krydder/urter
"Rosmarin, tørket",427,Krydder/urter
"Safran, tørket",352,Krydder/urter
Sennepsfrø,518,Krydder/urter
"Timian, rå",107,Krydder/urter
"Timian, tørket",285,Krydder/urter
Valmuefrø,497,Krydder/urter
Honning,317,søte saker
Melis,400,søte saker
"Melkepålegg, med sukker, Hapå",308,søte saker
"Nøttepålegg, med mindre sukker, Nugatti",489,søte saker
"Nøttepålegg, Nugatti",525,søte saker
Sirup,297,søte saker
"Sjokoladepålegg, med mindre sukker, Sjokade",390,søte saker
"Sjokoladepålegg, Sjokade",414,søte saker
"Sukker, brunt",376,søte saker
"Sukker, hvitt",400,søte saker
Vaniljesukker,364,søte saker
"Geléfrukt, Seigmenn",292,søte saker
Karamell,376,søte saker
"Karamell, med sjokoladetrekk",455,søte saker
Kokosbolle,376,søte saker
"Lakris, søt",330,søte saker
Lakriskonfekt,387,søte saker
"Marsipan, 30 % mandler",444,søte saker
"Marsipan, 50 % mandler",508,søte saker
"Marsipanbrød, med sjokoladetrekk",514,søte saker
Pastiller,257,søte saker
"Pastiller, uten sukker",48,søte saker
"Sjokolade, fylt, konfekt",487,søte saker
"Sjokolade, hvit",544,søte saker
"Sjokolade, kokesjokolade, lys",527,søte saker
"Sjokolade, kokesjokolade, mørk",511,søte saker
"Sjokolade, Mars",423,søte saker
"Sjokolade, med gelé og marsipan, Troika",445,søte saker
"Sjokolade, med kjeks",528,søte saker
"Sjokolade, med kokosfyll, Bounty",478,søte saker
"Sjokolade, med mandelkrokan, Daim",540,søte saker
"Sjokolade, med mintfyll, After Eight",404,søte saker
"Sjokolade, med nøtter",470,søte saker
"Sjokolade, melkesjokolade",541,søte saker
"Sjokolade, melkesjokolade, porøs",521,søte saker
"Sjokolade, Milky Way",465,søte saker
"Sjokolade, mørk, 70 % kakao",584,søte saker
"Sjokolade, småsjokolader",458,søte saker
"Sjokolade, Snickers",498,søte saker
"Skumgodt, Ahlgrens biler",363,søte saker
"Skumgodt, marshmallows",263,søte saker
"Smågodt, blandet, uten sjokolade",369,søte saker
"Smågodt, salte",286,søte saker
"Sukkertøy, drops",324,søte saker
"Tyggegummi, med sukker",326,søte saker
,388,smør/oljer
Bremykt,742,smør/oljer
"Bremykt, flytende",732,smør/oljer
Ghee,879,smør/oljer
"Ghee, vegetabilsk",898,smør/oljer
"Margarin, bordmargarin, 60 % fett",544,smør/oljer
"Margarin, bordmargarin, 80 % fett",724,smør/oljer
"Margarin, hard",722,smør/oljer
"Margarin, Melange",722,smør/oljer
"Margarin, Melange, flytende",723,smør/oljer
"Margarin, Melange, uten salt og melk, folie",720,smør/oljer
"Margarin, myk",632,smør/oljer
"Margarin, Soft ekstra, beger",634,smør/oljer
"Margarin, Soft Flora lett",364,smør/oljer
"Margarin, Soft Flora, folie",724,smør/oljer
"Margarin, Soft Flora, original",632,smør/oljer
"Margarin, Soft Spesial, redusert saltinnhold",720,smør/oljer
"Margarin, stekemargarin",769,smør/oljer
"Margarin, Vita Hjertego´",632,smør/oljer
"Margarin, Vita Hjertego´ lett",364,smør/oljer
"Margarin, Vita Hjertego´, flytende",767,smør/oljer
"Margarin, Vita Pro aktiv",317,smør/oljer
"Matfett, Flott",900,smør/oljer
"Matlagingsfett, uspesifisert",771,smør/oljer
Smør,742,smør/oljer
"Smør, meierismør, ekstra salt, Kviteseidsmør",733,smør/oljer
"Smør, usaltet",751,smør/oljer
Frityrolje,891,smør/oljer
Hvetekimolje,900,smør/oljer
Kokosfett,900,smør/oljer
Kokosnøttolje,899,smør/oljer
Linfrøolje,900,smør/oljer
Maisolje,892,smør/oljer
Olivenolje,892,smør/oljer
"Olivenolje, extra virgin, jomfruolje",889,smør/oljer
Palmeolje,900,smør/oljer
Peanøttolje,892,smør/oljer
"Raps- og solsikkeolje, Melange",900,smør/oljer
Rapsolje,892,smør/oljer
"Rapsolje, kaldpresset, Odelia",900,smør/oljer
Sesamolje,898,smør/oljer
Solsikkeolje,883,smør/oljer
Soyaolje,900,smør/oljer
Valnøttolje,899,smør/oljer
Vita Hjertego´ olje,900,smør/oljer
"Crabsticksalat, majonessalat, 25 % fett",250,dressing/majones
"Dressing, majonestype, 15 % fett",185,dressing/majones
"Dressing, majonestype, 30 % fett",295,dressing/majones
"Dressing, majonestype, 40 % fett",406,dressing/majones
"Dressing, majonestype, 55 % fett",518,dressing/majones
"Eggesalat, majonessalat, 37 % fett",365,dressing/majones
"Frokostsalat, majonessalat, med ostemasse",442,dressing/majones
"Italiensk salat, majonessalat, 37 % fett",360,dressing/majones
"Majones, ekstra lett, 25 % fett",257,dressing/majones
"Majones, ekte",728,dressing/majones
"Majones, lett, 40 % fett",394,dressing/majones
"Majones, lett, 50 % fett",465,dressing/majones
"Rekesalat, majonessalat, 35 % fett",359,dressing/majones
Remulade,617,dressing/majones
"Rødbetsalat, majonessalat, 30 % fett",317,dressing/majones
"Salatdressing, olje og eddik, fransk dressing",414,dressing/majones
"Salatdressing, uten fett",61,dressing/majones
Sennepssaus,441,dressing/majones
Waldorfsalat,242,dressing/majones
Café au lait,31,drikke
"Caffe latte, enkel, med helmelk",58,drikke
"Caffe latte, enkel, med lettmelk",41,drikke
Caffe mocca,91,drikke
"Cappucino, enkel, med helmelk",53,drikke
"Cappucino, enkel, med lettmelk",38,drikke
"Cortado, enkel",32,drikke
"Espresso, enkel",9,drikke
"Kaffe, pulver, tilberedt",0,drikke
"Kaffe, traktet, kokt",1,drikke
"Macchiato, enkel",76,drikke
"Mineralvann, med kullsyre, Bonaqua naturell",0,drikke
"Mineralvann, med kullsyre, Bris naturell",0,drikke
"Mineralvann, med kullsyre, Farris naturell",0,drikke
"Mineralvann, med kullsyre, Olden",0,drikke
"Mineralvann, uten kullsyre, Bonaqua naturell",0,drikke
"Mineralvann, uten kullsyre, Olden",0,drikke
"Te, grønn, tilberedt",0,drikke
"Te, svart, tilberedt",0,drikke
"Vann, drikkevann",0,drikke
Ananasjuice,50,drikke
Appelsinjuice,43,drikke
"Appelsinsaft, drikkeklar",34,drikke
"Appelsinsaft, ublandet",173,drikke
"Brus, Bitter lemon",44,drikke
"Brus, cola, kunstig søtet, lett",0,drikke
"Brus, cola, med sukker",42,drikke
"Brus, fruktjuice, kunstig søtet, lett, Solo light, Mozell light o.l.",4,drikke
"Brus, fruktjuice, med sukker, Solo, Mozell o.l.",44,drikke
"Brus, sitronsmak, kunstig søtet, lett",0,drikke
"Brus, sitronsmak, med sukker",40,drikke
"Brus, Tonic water",36,drikke
Druejuice,66,drikke
"Energidrikk, tilsatt taurin, koffein og B-vitaminer",49,drikke
"Energidrikk, tilsatt taurin, koffein og B-vitaminer, sukkerfri",3,drikke
"Eplejuice, most",42,drikke
Eplenektar,43,drikke
Grapefruktjuice,39,drikke
"Havredrikke, sjokoladesmak, tilsatt kalsium og vitaminer",42,drikke
"Havredrikke, tilsatt kalsium og vitaminer",46,drikke
"Husholdningssaft, drikkeklar",42,drikke
"Husholdningssaft, ublandet, kjøpt",203,drikke
"Iste, kunstig søtet, lett, Nestea",0,drikke
"Iste, Nestea",18,drikke
Kokosvann,18,drikke
"Leskedrikk, kunstig søtet, drikkeklar",4,drikke
Mandeldrikke,26,drikke
"Mandeldrikke, tilsatt kalsium og vitaminer",26,drikke
Risdrikke,36,drikke
"Saft, 1000 g sukker pr. l råsaft, drikkeklar",43,drikke
"Saft, 1000 g sukker pr. l råsaft, ublandet",217,drikke
"Saft, 500 g sukker pr. l råsaft, drikkeklar",39,drikke
"Saft, 500 g sukker pr. l råsaft, ublandet",156,drikke
"Sitronsaft, flaske",8,drikke
"Smoothie, med juice, banan og bær",57,drikke
"Smoothie, med yoghurt, juice, banan og bær",60,drikke
"Solbærsaft, 1000 g sukker pr. l råsaft, drikkeklar",43,drikke
"Solbærsaft, 1000 g sukker pr. l råsaft, ublandet",217,drikke
"Solbærsaft, 500 g sukker pr. l råsaft, drikkeklar",39,drikke
"Solbærsaft, 500 g sukker pr. l råsaft, ublandet",156,drikke
"Solbærsirup, drikkeklar",32,drikke
"Solbærsirup, ublandet",193,drikke
"Soyadrikke, tilsatt kalsium, søtet",44,drikke
"Soyadrikke, tilsatt kalsium, usøtet",41,drikke
Tranebærjuice,51,drikke
Tropisk juice,43,drikke
"Brennevin, 40 vol-% alkohol",244,alkohol
"Brennevin, 60 vol-% alkohol",369,alkohol
"Cider, søt, 4,5 vol-% alkohol",59,alkohol
"Dessertvin, ekstra søt, musserende",76,alkohol
"Gulløl, 5,7 vol-% alkohol",58,alkohol
"Hetvin, søt, 17 vol-% alkohol",138,alkohol
"Hetvin, tørr, 15 vol-% alkohol",96,alkohol
"Hvitvin, halvsøt/søt, inkl musserende",72,alkohol
"Hvitvin, halvtørr, 10 vol-% alkohol",72,alkohol
"Hvitvin, rosé, musserende",104,alkohol
"Hvitvin, tørr, 12 vol-% alkohol",69,alkohol
"Lettøl, lett, 2,5 vol-% alkohol",25,alkohol
"Likør, 17 vol-% alkohol, fløtebasert",303,alkohol
"Likør, 35 vol-% alkohol",313,alkohol
"Likør, søt, 21 vol-% alkohol",225,alkohol
"Mørkt øl, Bayer og juleøl, 4,5-4,7 vol-% alkohol",42,alkohol
"Pils, 4,7 vol-% alkohol",41,alkohol
"Rødvin, 12 vol-% alkohol",74,alkohol
"Rødvin, tørr",64,alkohol
"Rødvin, uspesifisert",70,alkohol
"Sterkvin, søt, portvin, 20 vol-% alkohol",151,alkohol
"Sterkvin, søt, vermouth, 15 vol-% alkohol",130,alkohol
"Sterkøl, bokkøl, 6,5 vol-% alkohol",63,alkohol
"Vin, alkoholfri",17,alkohol
"Vin, alkoholsvak",36,alkohol
Vørterøl,38,alkohol
"Øl, alkoholfritt",24,alkohol
"Øl, redusert energiinnhold, lavkarbo",32,alkohol
"Kjøttkaker med ertestuing, Fjordland",110,Ferdigmat
"Kjøttsuppe med grønnsaker og poteter, Fjordland",41,Ferdigmat
"Kokt laks med urtesaus, gulrot og poteter, Fjordland",101,Ferdigmat
"Pai, med skinke og ost",281,Ferdigmat
"Pannekaker, av pulver, Toro",158,Ferdigmat
"Pannekaker, grove",152,Ferdigmat
"Pannekaker, med helmelk, stekt i hard margarin",203,Ferdigmat
"Pannekaker, med lettmelk, stekt i hard margarin",186,Ferdigmat
"Pannekaker, med lettmelk, stekt i myk margarin",183,Ferdigmat
"Pannekaker, med skummet melk, stekt i hard margarin",175,Ferdigmat
"Pannekaker, med skummet melk, stekt uten fett",154,Ferdigmat
"Pizza, Big One Classic",218,Ferdigmat
"Pizza, Big One New York Grilled Steak",202,Ferdigmat
"Pizza, Grandiosa kjøttdeig og løk",197,Ferdigmat
"Pizza, Grandiosa Original",198,Ferdigmat
"Pizza, kjøpt",220,Ferdigmat
"Pizza, med tomatsaus og ost",181,Ferdigmat
"Pizza, Ristorante Mozarella",260,Ferdigmat
"Pizza, Ristorante Speciale",236,Ferdigmat
"Pizza, Stenovnsbakt Tradizionale Diavola",227,Ferdigmat
"Pizza, Take Away Meat Lover by Big One",218,Ferdigmat
"Pizzafyllbasis, uten kjøtt",65,Ferdigmat
"Svinestek med surkål og poteter, Fjordland",79,Ferdigmat
"Taco med skjell/tubs, kjøttdeig, grønnsaker",212,Ferdigmat
"Taco med skjell/tubs, kylling, grønnsaker",134,Ferdigmat
"Taco med skjell/tubs, laks, grønnsaker",227,Ferdigmat
"Taco med tortilla, kjøttdeig, grønnsaker",212,Ferdigmat
"Taco med tortilla, kylling, grønnsaker",134,Ferdigmat
"Taco med tortilla, laks, grønnsaker",204,Ferdigmat
"Bernaisesaus, av pulver",221,supper/gryterett
"Betasuppe, av pulver, tilberedt",37,supper/gryterett
"Blomkål/brokkolisuppe, Rett i koppen",34,supper/gryterett
"Blomkålsuppe, av pulver",33,supper/gryterett
"Brokkkolisuppe, protein- og energirik",138,supper/gryterett
"Brun saus, av blokk",55,supper/gryterett
"Brun saus, kjøttkakesaus, av pulver",34,supper/gryterett
"Brun saus, med løk, av pulver",39,supper/gryterett
"Dipsaus, sursøt barbequesaus",96,supper/gryterett
"Ertestuing, av pulver",134,supper/gryterett
"Ertesuppe, av pulver",57,supper/gryterett
"Fiskesuppe, Bergensk, av pulver",39,supper/gryterett
"Grytebasis, Jegergryte, uten kjøtt",118,supper/gryterett
"Grytebasis, med pasta, italiensk, uten kjøtt",63,supper/gryterett
"Grytebasis, med ris, meksikansk, uten kjøtt",69,supper/gryterett
"Grytebasis, orientalsk, uten kjøtt",57,supper/gryterett
"Grytebasis, Pasta di Napoli, uten kjøtt",122,supper/gryterett
"Grytebasis, Stroganoff, uten kjøtt",64,supper/gryterett
"Hvit saus, av pulver",69,supper/gryterett
"Kjøttbuljong, tilberedt",3,supper/gryterett
"Kyllingsuppe, protein- og energirik",138,supper/gryterett
"Pesto, grønn, hjemmelaget",632,supper/gryterett
"Pesto, grønn, kjøpt",520,supper/gryterett
"Sjysaus, av pulver",18,supper/gryterett
Soyasaus,84,supper/gryterett
"Tomatsuppe, av pulver",36,supper/gryterett
"Tomatsuppe, med krutonger, Rett i koppen",41,supper/gryterett
"Tomatsuppe, med makaroni, av pulver",43,supper/gryterett
"Viltsaus, av pulver",79,supper/gryterett
"Eggekrem, vaniljekrem",116,dessert/iskrem
"Fromasj, av pulver",187,dessert/iskrem
"Fruktsaus, av pulver",56,dessert/iskrem
"Fruktsuppe, av pulver",49,dessert/iskrem
"Gelé, av pulver",82,dessert/iskrem
"Iskrem, fløte, med ekstra sjokolade",275,dessert/iskrem
"Iskrem, fløte, med sjokoladebiter",241,dessert/iskrem
"Iskrem, fløtebasert",194,dessert/iskrem
"Iskrem, lettis, med mindre sukker og fett",140,dessert/iskrem
"Iskrem, med kjeks, Krone-is med jordbær",268,dessert/iskrem
"Iskrem, med kjeks, Krone-is med sjokolade",300,dessert/iskrem
"Iskrem, med kjeks, Lion King Size",326,dessert/iskrem
"Iskrem, med kjeks, sjokolade, nøtter",263,dessert/iskrem
"Iskrem, med kjeks, syltetøy, sjokolade",234,dessert/iskrem
"Iskrem, pinneis, Royal Mørk",298,dessert/iskrem
"Iskrem, vegetabilsk fett, margarinis, 10 % fett",193,dessert/iskrem
"Iskrem, yoghurtis",173,dessert/iskrem
"Kakekrem, romsmak, Piano",151,dessert/iskrem
"Karamellpudding, Piano",128,dessert/iskrem
Karamellsaus,280,dessert/iskrem
Melisglasur,342,dessert/iskrem
Moltekrem,272,dessert/iskrem
"Nypesuppe, av pulver",47,dessert/iskrem
Panna cotta,367,dessert/iskrem
"Pudding, mandelsmak, Piano",104,dessert/iskrem
Riskrem,173,dessert/iskrem
Rislunsj med jordbær,137,dessert/iskrem
Saftis,71,dessert/iskrem
"Saftis, Lollipop",120,dessert/iskrem
Sjokoladefondant,415,dessert/iskrem
Sjokoladeglasur,382,dessert/iskrem
Sjokolademousse,362,dessert/iskrem
"Sjokoladepudding, av pulver",92,dessert/iskrem
"Sjokoladepudding, Piano",123,dessert/iskrem
"Sjokoladesaus, kjøpt",268,dessert/iskrem
"Smørkrem, med hard margarin",541,dessert/iskrem
"Smørkrem, med smør",555,dessert/iskrem
Sorbet,181,dessert/iskrem
"Tilslørte bondepiker, med kavring",228,dessert/iskrem
Trollkrem,129,dessert/iskrem
"Vaniljekrem, med helmelk",115,dessert/iskrem
"Vaniljekrem, Piano",148,dessert/iskrem
"Vaniljesaus, av pulver",76,dessert/iskrem
"Vaniljesaus, Piano",147,dessert/iskrem
Baconcrisp,606,snacks/chips
Chilinøtter,519,snacks/chips
"Chilinøtter, Den lille nøttefabrikken",531,snacks/chips
"Chilinøtter, Eldorado",522,snacks/chips
"Chilinøtter, Polly",505,snacks/chips
Ostepop,495,snacks/chips
"Popcorn, kjøpt",398,snacks/chips
"Popcorn, mikrobølgeovn",457,snacks/chips
"Popcorn, poppet i soyaolje",453,snacks/chips
"Popcorn, uten fett",367,snacks/chips
Potetchips,517,snacks/chips
"Potetchips, Kims",509,snacks/chips
"Potetchips, Maarud",525,snacks/chips
"Potetchips, med mindre fett",458,snacks/chips
"Potetchips, stekt i peanøttolje",509,snacks/chips
"Potetchips, Sørlandschips",471,snacks/chips
"Potetskruer, potetringer",490,snacks/chips
Saltstenger,380,snacks/chips
"Tortillachips, nachochips",475,snacks/chips
"Tortillachips, nachochips, Maarud Tortilla Cheese",491,snacks/chips
"Tortillachips, nachochips, Santa Maria",459,snacks/chips
Bakepulver,172,diverse
Balsamicoeddik,62,diverse
Butterdeig,397,diverse
"Eddik, 7 %",4,diverse
Filodeig,285,diverse
Floradix,74,diverse
"Gelatin, plater/pulver",343,diverse
"Gjær, pressgjær",107,diverse
"Gjær, tørrgjær",341,diverse
Havsalt,0,diverse
Kakaopulver,379,diverse
"Karripasta, curry paste",269,diverse
"Kokosmasse, usøtet",666,diverse
Kokosmelk,209,diverse
"Kokosmelk, mager, hermetisk",72,diverse
"Kondensert melk, søtet",327,diverse
Mineralsalt,0,diverse
"Miso, fermentert soyabønnepasta",172,diverse
"Multi 0,65 g/stk, Nycoplus",6,diverse
"Multi Barn 1,1 g/stk, Nycoplus",84,diverse
"Multi Vitaminmikstur, Nycoplus",182,diverse
Natron,0,diverse
"Salt, bordsalt",0,diverse
"Salt, bordsalt, jodert, Jozo",0,diverse
Sanasol,213,diverse
Sennep,158,diverse
Urtesalt,47,diverse
"Vitaminbjørner, 2,1 g/stk, Collett",105,diverse
"Vitamineral, 0,55 g/stk, Vitaplex",35,diverse
Wonton-ark,281,diverse
